Data;EMPRESTIMO;SALARY;VACATION;ADVANCE_SALARY;RESCISSION;DEPOSIT;BASIC_FOOD_BASKET;BONUS;COMMISSION;DAILY;FOOD_VOUCHER;FUEL_ASSISTANCE;MEAL_VOURCHER;PIS_PAYMENT;PROFIT_SHARING_PAYMENT;PRO_LABORE_PAYMENT;REWARD;SALARY_DIFFERENCE;THIRTEENTH_SALARY;THIRTEENTH_SALARY_FIRST_INSTALLMENT;THIRTEENTH_SALARY_SECOND_INSTALLMENT;TIP;TRANSPORTATION_VOUCHER;TOTAL_DIA
27/03/2024;451531,64;0;241522,97;0;2465,8;15731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259719,77
28/03/2024;765300,72;0;0;0;0;1245,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1245,36
29/03/2024;285538,31;533697,35;27003,79;84679,02;91236,64;108013,74;0;0;1050,04;7191,34;800;3562,73;0;0;0;0;0;0;0;0;0;0;26588,01;883822,66
30/03/2024;211917,13;800897,83;447796,6;674,18;354061,45;90323,27;4800;0;0;37436,86;3294,06;680;2599,1;0;0;0;9556,78;0;0;39224,97;0;50;15816,35;1807211,45
31/03/2024;144345,2;6579492,88;1326178,2;0;410087,54;265223,79;70070;0;7042,68;64509,21;2460,5;2747,82;3449;0;8777,82;12548,58;4686;0;0;5355,03;0;0;257905,66;9020534,71
01/04/2024;452512,24;4699103,74;781948,26;683,29;594001,34;372933,92;52072,5;0;0;17625;102912,16;13509,65;4290,01;0;234,1;536937,86;7500;0;0;0;0;0;235106,4;7418858,23
02/04/2024;324751,35;328129,35;0;0;5282,68;0;0;0;0;130;0;0;0;0;0;0;126;0;0;0;0;0;22599,9;356267,93
03/04/2024;609764,61;112965,93;5529,04;0;0;665,4;0;0;0;0;2632;1073,5;0;0;0;0;0;0;0;0;0;0;31043,4;153909,27
04/04/2024;1316537,79;5296076,66;419992,09;1000;363617,54;119170,3;10600;0;0;17758,52;112541,03;18358;2780;0;0;254188,66;28235,17;0;0;0;0;0;62622,89;6706940,86
05/04/2024;3695037,57;3222203,04;94817,31;268,38;212145,24;106112,38;0;0;40042,67;51501,22;16240,85;600;858;0;0;540;17,22;0;0;0;0;0;12393,9;3757740,21
06/04/2024;1425206,54;15477216,2;381087,41;40500;157920,45;25397,64;0;0;7703,14;13569,07;58120,61;10773,88;4434,47;0;0;495994,56;1517,66;0;5606,35;0;0;11;15987,9;16695840,34
07/04/2024;470742,05;17510263,7;287425,01;27468,38;148518,7;324322,76;450;0;6088,26;11859,85;20545,22;2181,8;184;0;0;4541,14;120829,43;0;2000;0;0;1;31810,39;18498489,64
08/04/2024;975747,82;20742737,19;179685,6;3288,36;427315,65;462835,35;3030;0;25019,01;8565,32;38592,33;5801,15;0;0;0;7426,34;84153,88;0;0;0;0;0;20567,2;22009017,38
09/04/2024;541367,94;154986,66;0;722,32;36794,64;465;4800;0;3784,69;7567;0;0;0;0;0;0;103,81;0;0;0;0;0;0;209224,12
10/04/2024;617931,04;1098578,43;39499,96;0;0;8797,6;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;1147025,99
11/04/2024;321781,38;619510,47;213176,65;3570;267335,41;208261,27;0;0;378498,2;13511,89;37875,29;650;4772,3;0;0;38740,34;19359,15;0;0;0;0;0;26792,03;1832053
12/04/2024;350249,03;315659;259374,46;0;241912,57;215677,32;0;0;6630,07;11626,79;75767,07;291;0;0;0;71982,01;269;0;0;1034,39;0;0;8536,73;1208760,41
13/04/2024;251628,7;1471682,24;69728,76;39035,15;287595,43;248412,08;340;0;10523,91;36833,48;5897,73;671;165;0;0;97377,82;48619,4;0;0;1485,24;0;0;53827,06;2372194,3
14/04/2024;141463,9;162630,53;54619,06;345122,61;227100,01;68908,88;3239,5;0;9442,25;11522,37;4453,46;438;0;0;0;44429,76;4765;0;0;1341,46;0;0;28358,93;966371,82
15/04/2024;389672,12;672082,19;90226,09;1448066,59;560695,32;129545,51;189;0;73836,21;32434,34;30402,15;7016,71;432;0;0;58900;16059,57;0;0;3262,5;0;2,34;51830,18;3174980,7
16/04/2024;219835,97;0;0;17779,38;0;1980;0;0;5452,98;20;0;0;0;0;0;0;0;0;0;0;0;0;0;25232,36
17/04/2024;192042,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4615,1;4615,1
